model,stock,n_test,mape
gru_single,OXY,20,0.022853409388042353
gru_multi,OXY,20,0.017486647354205402
prophet,BA,20,0.04902768833147697
ann_single,BA,20,0.012982299645198711
ann_multi,BA,20,0.013687998334182962
cnn_single,BA,20,0.008595230788799223
cnn_multi,BA,20,0.013019365296091698
lstm_single,BA,20,0.009308807775556958
lstm_multi,BA,20,0.012978501408574173
gru_single,BA,20,0.010369697570363347
gru_multi,BA,20,0.012843214919529573
prophet,GE,20,0.016949758818701262
ann_single,GE,20,0.0050098690078700155
ann_multi,GE,20,0.006124343394684347
cnn_single,GE,20,0.006300503828698437
cnn_multi,GE,20,0.007717762545714504
lstm_single,GE,20,0.006199920589550219
lstm_multi,GE,20,0.0073355911276246025
gru_single,GE,20,0.009553466034596066
gru_multi,GE,20,0.00686586970792286
prophet,GM,20,0.011900086903070099
ann_single,GM,20,0.021282771486316413
ann_multi,GM,20,0.029287604203153784
cnn_single,GM,20,0.02074296823157979
cnn_multi,GM,20,0.02743681590507213
lstm_single,GM,20,0.0314070701297324
lstm_multi,GM,20,0.030784107804239395
gru_single,GM,20,0.02852717184240695
gru_multi,GM,20,0.02851807187652709
prophet,AAPL,50,0.02212190329068556
ann_single,AAPL,50,0.028279226766732737
ann_multi,AAPL,50,0.010826188613380307
cnn_single,AAPL,50,0.009732974190014511
cnn_multi,AAPL,50,0.010584176949383173
lstm_single,AAPL,50,0.016967141603058525
lstm_multi,AAPL,50,0.01082381741481949
gru_single,AAPL,50,0.008544875708843411
gru_multi,AAPL,50,0.011799237952109732
prophet,UAL,50,0.04702423188618247
ann_single,UAL,50,0.06561234194056324
ann_multi,UAL,50,0.02497398818182588
cnn_single,UAL,50,0.026923322921391088
cnn_multi,UAL,50,0.02668422747588112
lstm_single,UAL,50,0.035394079713514805
lstm_multi,UAL,50,0.025015376320400167
gru_single,UAL,50,0.021074208447428088
gru_multi,UAL,50,0.024070016347987083
prophet,WMT,50,0.01993788834488164
ann_single,WMT,50,0.02093471513537424
ann_multi,WMT,50,0.01439349607992727
cnn_single,WMT,50,0.013371298951443709
cnn_multi,WMT,50,0.015124373268175792
lstm_single,WMT,50,0.0160613319735669
lstm_multi,WMT,50,0.018644610295709973
gru_single,WMT,50,0.020514702314938175
gru_multi,WMT,50,0.017920624305543788
prophet,PFE,50,0.005493851019427219
ann_single,PFE,50,0.03565999114976479
ann_multi,PFE,50,0.03398066086068344
cnn_single,PFE,50,0.06957014633352233
cnn_multi,PFE,50,0.034425717803016384
lstm_single,PFE,50,0.0318338887219745
lstm_multi,PFE,50,0.03264181030116615
gru_single,PFE,50,0.02353634915220098
gru_multi,PFE,50,0.03416992992719263
prophet,MA,50,0.02652513961285512
ann_single,MA,50,0.02207326627995033
ann_multi,MA,50,0.02026576437913974
cnn_single,MA,50,0.011505392539627837
cnn_multi,MA,50,0.019696339904608513
lstm_single,MA,50,0.016230167115192304
lstm_multi,MA,50,0.020563161230917334
gru_single,MA,50,0.013746319234543367
gru_multi,MA,50,0.020021077936910686
prophet,MCD,50,0.013967929997965872
ann_single,MCD,50,0.01995996203955211
ann_multi,MCD,50,0.011623303657600392
cnn_single,MCD,50,0.025353228256771495
cnn_multi,MCD,50,0.010622429973909477
lstm_single,MCD,50,0.007048256824939073
lstm_multi,MCD,50,0.014637703853083188
gru_single,MCD,50,0.00882962665549019
gru_multi,MCD,50,0.012961263915050059
prophet,OXY,50,0.03399280729207249
ann_single,OXY,50,0.013174755384668106
ann_multi,OXY,50,0.014396435655464019
cnn_single,OXY,50,0.009906175868126213
cnn_multi,OXY,50,0.01442999612896168
lstm_single,OXY,50,0.01825066792703647
lstm_multi,OXY,50,0.012276292218969708
gru_single,OXY,50,0.018426618698654827
gru_multi,OXY,50,0.015305637426257545
prophet,BA,50,0.052371313154622456
ann_single,BA,50,0.05285280458825496
ann_multi,BA,50,0.04746933062518696
cnn_single,BA,50,0.07629387194015641
cnn_multi,BA,50,0.04987503733445945
lstm_single,BA,50,0.05981653430095148
lstm_multi,BA,50,0.04793238452580091
gru_single,BA,50,0.0648320260439254
gru_multi,BA,50,0.0451745454501577
prophet,GE,50,0.05418865671311931
ann_single,GE,50,0.04950378388186888
ann_multi,GE,50,0.04208167398287713
cnn_single,GE,50,0.0735929566913348
cnn_multi,GE,50,0.04210812398368075
lstm_single,GE,50,0.021517112297286155
lstm_multi,GE,50,0.03628227255266059
gru_single,GE,50,0.037353419025788655
gru_multi,GE,50,0.03705312733536303
prophet,GM,50,0.009184695425977827
ann_single,GM,50,0.05657350467494246
ann_multi,GM,50,0.03528819166198729
cnn_single,GM,50,0.0549303813550633
cnn_multi,GM,50,0.034706642087158596
lstm_single,GM,50,0.03854562581165775
lstm_multi,GM,50,0.03556882853333394
gru_single,GM,50,0.06511383035306609
gru_multi,GM,50,0.035799594336600446
prophet,AAPL,100,0.021284052266728755
ann_single,AAPL,100,0.03187085664761855
ann_multi,AAPL,100,0.03458316428044608
cnn_single,AAPL,100,0.05242156246126609
cnn_multi,AAPL,100,0.030314154447623455
lstm_single,AAPL,100,0.05635090424349902
lstm_multi,AAPL,100,0.031605555938967606
gru_single,AAPL,100,0.03146848536662797
gru_multi,AAPL,100,0.03222121499257152
prophet,UAL,100,0.02595372526102978
ann_single,UAL,100,0.051119823286859545
ann_multi,UAL,100,0.02889524571426559
cnn_single,UAL,100,0.04805088238537133
cnn_multi,UAL,100,0.027867005482329725
lstm_single,UAL,100,0.029820385125596795
lstm_multi,UAL,100,0.027108914660677295
gru_single,UAL,100,0.019820759394168604
gru_multi,UAL,100,0.025178741131863074
prophet,WMT,100,0.02294399808804759
ann_single,WMT,100,0.029942997453902265
ann_multi,WMT,100,0.01343122049363307
cnn_single,WMT,100,0.006117817125451246
cnn_multi,WMT,100,0.012436170140034692
lstm_single,WMT,100,0.009985127515651093
lstm_multi,WMT,100,0.013099764821865496
gru_single,WMT,100,0.008634193518417564
gru_multi,WMT,100,0.011231412495634514
prophet,PFE,100,0.037740353435695505
ann_single,PFE,100,0.029781721631143832
ann_multi,PFE,100,0.018541365131471733
cnn_single,PFE,100,0.046528589172672365
cnn_multi,PFE,100,0.01936397055788244
lstm_single,PFE,100,0.016192586044400305
lstm_multi,PFE,100,0.02179761192691353
gru_single,PFE,100,0.01633041465819812
gru_multi,PFE,100,0.02029796973586364
prophet,MA,100,0.012306291811887941
ann_single,MA,100,0.0447588064871832
ann_multi,MA,100,0.013138523866992815
cnn_single,MA,100,0.025188880871507658
cnn_multi,MA,100,0.014253495375580016
lstm_single,MA,100,0.02129260853377251
lstm_multi,MA,100,0.017094609140680308
gru_single,MA,100,0.026818978421498635
gru_multi,MA,100,0.015135890551210429
prophet,MCD,100,0.008551556224071805
ann_single,MCD,100,0.011020067368207199
ann_multi,MCD,100,0.006363475601171208
cnn_single,MCD,100,0.009284256098180803
cnn_multi,MCD,100,0.006373455751052529
lstm_single,MCD,100,0.010824541453160101
lstm_multi,MCD,100,0.0062704591714884406
gru_single,MCD,100,0.006749043395796575
gru_multi,MCD,100,0.006116075441406601
prophet,OXY,100,0.024084120428073903
ann_single,OXY,100,0.01332523248704363
ann_multi,OXY,100,0.015392662414538903
cnn_single,OXY,100,0.014666556026831978
